"pathway","pval","padj","log2err","ES","NES","size","genes"
"MIR_1231_5P",0.818027210884354,0.938642812259729,0.0474483193656297,0.269643246328642,0.771123017433704,72,"Plekha1,Nrp1,Sh2d2a,Vps33a,Ubiad1,Arl16,Sar1a,Abraxas2,Slc2a8,Exd2,Tes,Larp1b,Clcn4"
"MIR_6408",0.818505338078292,0.938652910640243,0.0494904866135495,0.28156771762775,0.75318849584214,40,"Rgmb,Il2rg,Mysm1,Gng12,Fastkd3,Smarcd1"
"MIR_876_5P",0.819444444444444,0.939191340337472,0.0483117581055019,0.266689852669306,0.781729417843039,88,"Fbxo3,N4bp2l1,Cbfa2t3,Cntln,Msantd4,Zfp263,Scpep1,Parp8,Vamp5,Tshz1,Higd1a,Morc3,Fndc5,Hells,Stx8,Srek1,Katnbl1,Nphp3,Sephs1,Zfp143,Uvssa,Xk,Gpd2,Nav1,Zfp324"
"MIR_3079_5P",0.822299651567944,0.940846283258517,0.0483117581055019,0.273084062476083,0.753854931959247,53,"1810010H24Rik,Zfp606,Pyurf,Ldhb,Trim21,Erp44,Atg7,Pole3,Tshz1,Kif3c,Ktn1,Pea15a,Map7"
"MIR_30B_3P",0.822014051522248,0.940846283258517,0.0621124188949471,-0.280770746101817,-0.721868961018614,30,"Ranbp10,Atp2b1,Mospd2,Trp53bp1,Srsf1,Peak1,Tent4b,Asic1,Ppat"
"MIR_761",0.821782178217822,0.940846283258517,0.0647943366000727,-0.244409925297886,-0.780757579881045,164,"Sun2,Cdk6,Pim1,Tbl1xr1,Naa15,Akap13,Abtb3,Tab3,Tbc1d5,Nol10,Baz2a,Myo18a,Zfp609,Mlxip,Naa50,Zfand3,Afmid,Ptprj,Ddx17,Cbl,Zbtb40,Usp20,Nfatc2,Prr14l,Errfi1,Mrps2,Kif21b,Ppip5k1,Tanc2,Enox2,Atp8a1,Wdtc1,Gcc2"
"MIR_6992_5P",0.823255813953488,0.940863787375415,0.0617054053637522,-0.25831008839489,-0.743482660121347,67,"Cd160,Ranbp10,Larp1,Trpm7,Fgf13,Rock1,Wipf2,Ncf1,Mier1,Pptc7,Mob1a,Prrc2b"
"MIR_7238_3P",0.823244552058111,0.940863787375415,0.0636424081651019,-0.259902105071269,-0.779095430776831,99,"Stag2,Tbc1d14,Ppm1g,Sacs,Arid1a,Man1a,Zyg11b,Lpp,Aff4,Kdm5c,Enpp4,Cacna1a,Mbnl1,Zcchc14,Bicd1,Ppp1cb,Zfp91,Hycc2"
"ZFP268_TARGET_GENES",0.82392776523702,0.941093963720183,0.0602484086158019,-0.407595579829798,-0.66481354646121,3,"Scrt1,Glra1,Barhl1"
"MIR_1931",0.825,0.94124358243012,0.0605092988656667,-0.268569832720536,-0.721648593505738,40,"Stag2,Dyrk3,Zfp275,Fmr1,Ahcyl1,Ctps1,Akr1b1,Oprm1,Cacnb4,Kdm2b"
